origen,destino,peso
Alejandro Salvador Fernández Allende,Allende,4
Alejandro Salvador Fernández Allende,Carmen Paz Allende Bussi,4
Alejandro Salvador Fernández Allende,Cesará,1
Alejandro Salvador Fernández Allende,Contraloría,2
Alejandro Salvador Fernández Allende,Ejecutivo,1
Alejandro Salvador Fernández Allende,Estado,2
Alejandro Salvador Fernández Allende,Marcela Sandoval,2
Alejandro Salvador Fernández Allende,María Isabel Allende Bussi,2
Alejandro Salvador Fernández Allende,Maya Fernández,3
Alejandro Salvador Fernández Allende,Salvador Allende,4
Allende,Carmen Paz Allende Bussi,4
Allende,Cesará,1
Allende,Contraloría,7
Allende,Ejecutivo,18
Allende,Estado,6
Allende,Marcela Sandoval,14
Allende,María Isabel Allende Bussi,2
Allende,Maya Fernández,31
Allende,Salvador Allende,40
Carmen Paz Allende Bussi,Cesará,1
Carmen Paz Allende Bussi,Contraloría,2
Carmen Paz Allende Bussi,Ejecutivo,1
Carmen Paz Allende Bussi,Estado,2
Carmen Paz Allende Bussi,Marcela Sandoval,2
Carmen Paz Allende Bussi,María Isabel Allende Bussi,2
Carmen Paz Allende Bussi,Maya Fernández,3
Carmen Paz Allende Bussi,Salvador Allende,4
Cesará,Contraloría,1
Cesará,Ejecutivo,1
Cesará,Estado,1
Cesará,Marcela Sandoval,1
Cesará,María Isabel Allende Bussi,1
Cesará,Maya Fernández,1
Cesará,Salvador Allende,1
Contraloría,Ejecutivo,5
Contraloría,Estado,2
Contraloría,Marcela Sandoval,4
Contraloría,María Isabel Allende Bussi,1
Contraloría,Maya Fernández,7
Contraloría,Salvador Allende,7
Ejecutivo,Estado,5
Ejecutivo,Marcela Sandoval,8
Ejecutivo,María Isabel Allende Bussi,1
Ejecutivo,Maya Fernández,15
Ejecutivo,Salvador Allende,17
Estado,Marcela Sandoval,3
Estado,María Isabel Allende Bussi,1
Estado,Maya Fernández,8
Estado,Salvador Allende,7
Marcela Sandoval,María Isabel Allende Bussi,1
Marcela Sandoval,Maya Fernández,14
Marcela Sandoval,Salvador Allende,16
María Isabel Allende Bussi,Maya Fernández,1
María Isabel Allende Bussi,Salvador Allende,2
Maya Fernández,Salvador Allende,37
Alejandro Salvador Fernández Allende,Aylwin,2
Alejandro Salvador Fernández Allende,Constitución,2
Alejandro Salvador Fernández Allende,Contraloría General de la República,2
Alejandro Salvador Fernández Allende,El Gobierno,1
Allende,Aylwin,4
Allende,Constitución,21
Allende,Contraloría General de la República,3
Allende,El Gobierno,1
Aylwin,Carmen Paz Allende Bussi,2
Aylwin,Constitución,3
Aylwin,Contraloría General de la República,2
Aylwin,El Gobierno,1
Aylwin,María Isabel Allende Bussi,1
Aylwin,Salvador Allende,4
Carmen Paz Allende Bussi,Constitución,2
Carmen Paz Allende Bussi,Contraloría General de la República,2
Carmen Paz Allende Bussi,El Gobierno,1
Constitución,Contraloría General de la República,2
Constitución,El Gobierno,1
Constitución,María Isabel Allende Bussi,1
Constitución,Salvador Allende,20
Contraloría General de la República,El Gobierno,1
Contraloría General de la República,María Isabel Allende Bussi,1
Contraloría General de la República,Salvador Allende,3
El Gobierno,María Isabel Allende Bussi,1
El Gobierno,Salvador Allende,1
Luis Cordero,Registro Civil,1
Luis Cordero,Visa Waiver,1
Registro Civil,Visa Waiver,4
Allende,Isabel Allende,33
Constitución,Contraloría,4
Constitución,Ejecutivo,10
Constitución,Isabel Allende,17
Constitución,Marcela Sandoval,10
Constitución,Maya Fernández,16
Contraloría,Isabel Allende,4
Ejecutivo,Isabel Allende,17
Isabel Allende,Marcela Sandoval,11
Isabel Allende,Maya Fernández,27
Isabel Allende,Salvador Allende,31
Carabineros,Sebastián Veloso,1
Carabineros,Veloso,1
Sebastián Veloso,Veloso,1
Allende,"Allende""",4
Allende,Casas,1
Allende,Fernández,16
Allende,Gabriel Boric,16
Allende,Mandatario,11
Allende,Presidente Boric,6
"Allende""",Aylwin,1
"Allende""",Casas,1
"Allende""",Constitución,2
"Allende""",Ejecutivo,1
"Allende""",Fernández,2
"Allende""",Gabriel Boric,4
"Allende""",Isabel Allende,2
"Allende""",Mandatario,2
"Allende""",Marcela Sandoval,3
"Allende""",Presidente Boric,2
"Allende""",Salvador Allende,4
Aylwin,Casas,1
Aylwin,Ejecutivo,2
Aylwin,Fernández,2
Aylwin,Gabriel Boric,3
Aylwin,Isabel Allende,2
Aylwin,Mandatario,2
Aylwin,Marcela Sandoval,2
Aylwin,Presidente Boric,2
Casas,Constitución,1
Casas,Ejecutivo,1
Casas,Fernández,1
Casas,Gabriel Boric,1
Casas,Isabel Allende,1
Casas,Mandatario,1
Casas,Marcela Sandoval,1
Casas,Presidente Boric,1
Casas,Salvador Allende,1
Constitución,Fernández,10
Constitución,Gabriel Boric,8
Constitución,Mandatario,5
Constitución,Presidente Boric,6
Ejecutivo,Fernández,6
Ejecutivo,Gabriel Boric,17
Ejecutivo,Mandatario,14
Ejecutivo,Presidente Boric,8
Fernández,Gabriel Boric,9
Fernández,Isabel Allende,17
Fernández,Mandatario,7
Fernández,Marcela Sandoval,9
Fernández,Presidente Boric,6
Fernández,Salvador Allende,23
Gabriel Boric,Isabel Allende,14
Gabriel Boric,Mandatario,36
Gabriel Boric,Marcela Sandoval,10
Gabriel Boric,Presidente Boric,17
Gabriel Boric,Salvador Allende,19
Isabel Allende,Mandatario,11
Isabel Allende,Presidente Boric,7
Mandatario,Marcela Sandoval,6
Mandatario,Presidente Boric,14
Mandatario,Salvador Allende,15
Marcela Sandoval,Presidente Boric,6
Presidente Boric,Salvador Allende,7
Boric,Estado,2
Boric,Gabriel Boric,32
Boric,Mandatario,25
Boric,Presidente,27
Estado,Gabriel Boric,4
Estado,Mandatario,2
Estado,Presidente,6
Gabriel Boric,Presidente,53
Mandatario,Presidente,39
Daniel Jadue,Jadue,3
Allende,Cabe,1
Cabe,Constitución,1
Cabe,Ejecutivo,1
Cabe,Fernández,1
Cabe,Gabriel Boric,1
Cabe,Isabel Allende,1
Cabe,Marcela Sandoval,1
Cabe,Maya Fernández,1
Cabe,Salvador Allende,1
Fernández,Maya Fernández,22
Gabriel Boric,Maya Fernández,16
Carabinero,Carabineros,3
Allende,Arturo Squella,2
Allende,Boric,8
Allende,Frank Sauerbaum,1
Allende,Partido Republicano,11
Allende,Presidente,33
Allende,Ximena Ossandón,2
Allende,Álvaro Carter,2
Arturo Squella,Boric,2
Arturo Squella,Constitución,2
Arturo Squella,Frank Sauerbaum,1
Arturo Squella,Gabriel Boric,2
Arturo Squella,Mandatario,2
Arturo Squella,Partido Republicano,4
Arturo Squella,Presidente,2
Arturo Squella,Salvador Allende,2
Arturo Squella,Ximena Ossandón,2
Arturo Squella,Álvaro Carter,1
Boric,Constitución,4
Boric,Frank Sauerbaum,1
Boric,Partido Republicano,2
Boric,Salvador Allende,7
Boric,Ximena Ossandón,2
Boric,Álvaro Carter,1
Constitución,Frank Sauerbaum,1
Constitución,Partido Republicano,8
Constitución,Presidente,17
Constitución,Ximena Ossandón,2
Constitución,Álvaro Carter,2
Frank Sauerbaum,Gabriel Boric,2
Frank Sauerbaum,Mandatario,1
Frank Sauerbaum,Partido Republicano,2
Frank Sauerbaum,Presidente,2
Frank Sauerbaum,Salvador Allende,1
Frank Sauerbaum,Ximena Ossandón,1
Frank Sauerbaum,Álvaro Carter,1
Gabriel Boric,Partido Republicano,5
Gabriel Boric,Ximena Ossandón,2
Gabriel Boric,Álvaro Carter,1
Mandatario,Partido Republicano,5
Mandatario,Ximena Ossandón,2
Mandatario,Álvaro Carter,1
Partido Republicano,Presidente,13
Partido Republicano,Salvador Allende,12
Partido Republicano,Ximena Ossandón,3
Partido Republicano,Álvaro Carter,1
Presidente,Salvador Allende,41
Presidente,Ximena Ossandón,3
Presidente,Álvaro Carter,3
Salvador Allende,Ximena Ossandón,3
Salvador Allende,Álvaro Carter,2
Ximena Ossandón,Álvaro Carter,1
Calles,Cordero,1
Calles,Ejecutivo,1
Calles,Felipe Harboe,1
Calles,Leitao,3
Calles,Luis Cordero,2
Calles,Planteó,1
Calles,Respondiendo,1
Calles,Violencia,4
Cordero,Ejecutivo,1
Cordero,Felipe Harboe,1
Cordero,Leitao,1
Cordero,Luis Cordero,1
Cordero,Planteó,1
Cordero,Respondiendo,1
Cordero,Violencia,1
Ejecutivo,Felipe Harboe,1
Ejecutivo,Leitao,1
Ejecutivo,Luis Cordero,1
Ejecutivo,Planteó,1
Ejecutivo,Respondiendo,1
Ejecutivo,Violencia,1
Felipe Harboe,Leitao,1
Felipe Harboe,Luis Cordero,1
Felipe Harboe,Planteó,1
Felipe Harboe,Respondiendo,1
Felipe Harboe,Violencia,1
Leitao,Luis Cordero,2
Leitao,Planteó,1
Leitao,Respondiendo,1
Leitao,Violencia,3
Luis Cordero,Planteó,1
Luis Cordero,Respondiendo,1
Luis Cordero,Violencia,2
Planteó,Respondiendo,1
Planteó,Violencia,1
Respondiendo,Violencia,1
Aisén Etcheverry,Alejandro Salvador Fernández Allende,1
Aisén Etcheverry,Allende,6
Aisén Etcheverry,Arturo Squella,1
Aisén Etcheverry,Aylwin,2
Aisén Etcheverry,Bienes Nacionales,2
Aisén Etcheverry,Boric,8
Aisén Etcheverry,Carmen Gloria Aravena,1
Aisén Etcheverry,Carmen Paz Allende Bussi,1
Aisén Etcheverry,Congreso,3
Aisén Etcheverry,Conservador de Bienes Raíces,1
Aisén Etcheverry,Constitución,3
Aisén Etcheverry,Contraloría,4
Aisén Etcheverry,Contraloría General de la República,1
Aisén Etcheverry,Estado,3
Aisén Etcheverry,Esteban Velásquez,1
Aisén Etcheverry,Etcheverry,6
Aisén Etcheverry,Fernández,3
Aisén Etcheverry,Gabriel Boric,9
Aisén Etcheverry,Gustavo Benavente,1
Aisén Etcheverry,Isabel Allende,6
Aisén Etcheverry,Luis Cordero,1
Aisén Etcheverry,Mandatario,11
Aisén Etcheverry,Marcela Sandoval,2
Aisén Etcheverry,Maya Fernández,6
Aisén Etcheverry,"PS).""Durante",1
Aisén Etcheverry,Partido Republicano,3
Aisén Etcheverry,Patricio Aylwin,1
Aisén Etcheverry,Presidente,12
Aisén Etcheverry,Presidente Boric,6
Aisén Etcheverry,Presupuesto,2
Aisén Etcheverry,Radio Duna,1
Aisén Etcheverry,Salvador Allende,6
Aisén Etcheverry,Segegob,1
Aisén Etcheverry,Ximena Ossandón,1
Alejandro Salvador Fernández Allende,Arturo Squella,1
Alejandro Salvador Fernández Allende,Bienes Nacionales,1
Alejandro Salvador Fernández Allende,Boric,2
Alejandro Salvador Fernández Allende,Carmen Gloria Aravena,1
Alejandro Salvador Fernández Allende,Congreso,1
Alejandro Salvador Fernández Allende,Conservador de Bienes Raíces,1
Alejandro Salvador Fernández Allende,Esteban Velásquez,1
Alejandro Salvador Fernández Allende,Etcheverry,1
Alejandro Salvador Fernández Allende,Fernández,1
Alejandro Salvador Fernández Allende,Gabriel Boric,2
Alejandro Salvador Fernández Allende,Gustavo Benavente,1
Alejandro Salvador Fernández Allende,Isabel Allende,2
Alejandro Salvador Fernández Allende,Luis Cordero,1
Alejandro Salvador Fernández Allende,Mandatario,2
Alejandro Salvador Fernández Allende,"PS).""Durante",1
Alejandro Salvador Fernández Allende,Partido Republicano,1
Alejandro Salvador Fernández Allende,Patricio Aylwin,1
Alejandro Salvador Fernández Allende,Presidente,2
Alejandro Salvador Fernández Allende,Presidente Boric,1
Alejandro Salvador Fernández Allende,Presupuesto,1
Alejandro Salvador Fernández Allende,Radio Duna,1
Alejandro Salvador Fernández Allende,Segegob,1
Alejandro Salvador Fernández Allende,Ximena Ossandón,1
Allende,Bienes Nacionales,9
Allende,Carmen Gloria Aravena,1
Allende,Congreso,4
Allende,Conservador de Bienes Raíces,1
Allende,Esteban Velásquez,1
Allende,Etcheverry,3
Allende,Gustavo Benavente,2
Allende,Luis Cordero,1
Allende,"PS).""Durante",1
Allende,Patricio Aylwin,3
Allende,Presupuesto,2
Allende,Radio Duna,1
Allende,Segegob,1
Arturo Squella,Aylwin,1
Arturo Squella,Bienes Nacionales,1
Arturo Squella,Carmen Gloria Aravena,1
Arturo Squella,Carmen Paz Allende Bussi,1
Arturo Squella,Congreso,1
Arturo Squella,Conservador de Bienes Raíces,1
Arturo Squella,Contraloría,1
Arturo Squella,Contraloría General de la República,1
Arturo Squella,Estado,1
Arturo Squella,Esteban Velásquez,1
Arturo Squella,Etcheverry,1
Arturo Squella,Fernández,1
Arturo Squella,Gustavo Benavente,1
Arturo Squella,Isabel Allende,1
Arturo Squella,Luis Cordero,1
Arturo Squella,Marcela Sandoval,1
Arturo Squella,Maya Fernández,1
Arturo Squella,"PS).""Durante",1
Arturo Squella,Patricio Aylwin,1
Arturo Squella,Presidente Boric,1
Arturo Squella,Presupuesto,1
Arturo Squella,Radio Duna,1
Arturo Squella,Segegob,1
Aylwin,Bienes Nacionales,1
Aylwin,Boric,1
Aylwin,Carmen Gloria Aravena,1
Aylwin,Congreso,1
Aylwin,Conservador de Bienes Raíces,1
Aylwin,Contraloría,2
Aylwin,Estado,1
Aylwin,Esteban Velásquez,1
Aylwin,Etcheverry,2
Aylwin,Gustavo Benavente,1
Aylwin,Luis Cordero,1
Aylwin,Maya Fernández,2
Aylwin,"PS).""Durante",1
Aylwin,Partido Republicano,1
Aylwin,Patricio Aylwin,1
Aylwin,Presidente,2
Aylwin,Presupuesto,1
Aylwin,Radio Duna,1
Aylwin,Segegob,1
Aylwin,Ximena Ossandón,1
Bienes Nacionales,Boric,2
Bienes Nacionales,Carmen Gloria Aravena,1
Bienes Nacionales,Carmen Paz Allende Bussi,1
Bienes Nacionales,Congreso,2
Bienes Nacionales,Conservador de Bienes Raíces,1
Bienes Nacionales,Constitución,7
Bienes Nacionales,Contraloría,2
Bienes Nacionales,Contraloría General de la República,2
Bienes Nacionales,Estado,1
Bienes Nacionales,Esteban Velásquez,1
Bienes Nacionales,Etcheverry,1
Bienes Nacionales,Fernández,6
Bienes Nacionales,Gabriel Boric,6
Bienes Nacionales,Gustavo Benavente,2
Bienes Nacionales,Isabel Allende,7
Bienes Nacionales,Luis Cordero,1
Bienes Nacionales,Mandatario,4
Bienes Nacionales,Marcela Sandoval,8
Bienes Nacionales,Maya Fernández,10
Bienes Nacionales,"PS).""Durante",1
Bienes Nacionales,Partido Republicano,4
Bienes Nacionales,Patricio Aylwin,1
Bienes Nacionales,Presidente,8
Bienes Nacionales,Presidente Boric,4
Bienes Nacionales,Presupuesto,1
Bienes Nacionales,Radio Duna,1
Bienes Nacionales,Salvador Allende,10
Bienes Nacionales,Segegob,1
Bienes Nacionales,Ximena Ossandón,1
Boric,Carmen Gloria Aravena,1
Boric,Carmen Paz Allende Bussi,2
Boric,Congreso,5
Boric,Conservador de Bienes Raíces,1
Boric,Contraloría,3
Boric,Contraloría General de la República,1
Boric,Esteban Velásquez,1
Boric,Etcheverry,3
Boric,Fernández,3
Boric,Gustavo Benavente,1
Boric,Isabel Allende,8
Boric,Luis Cordero,2
Boric,Marcela Sandoval,2
Boric,Maya Fernández,7
Boric,"PS).""Durante",1
Boric,Patricio Aylwin,1
Boric,Presidente Boric,12
Boric,Presupuesto,2
Boric,Radio Duna,1
Boric,Segegob,1
Carmen Gloria Aravena,Carmen Paz Allende Bussi,1
Carmen Gloria Aravena,Congreso,1
Carmen Gloria Aravena,Conservador de Bienes Raíces,1
Carmen Gloria Aravena,Constitución,1
Carmen Gloria Aravena,Contraloría,1
Carmen Gloria Aravena,Contraloría General de la República,1
Carmen Gloria Aravena,Estado,1
Carmen Gloria Aravena,Esteban Velásquez,1
Carmen Gloria Aravena,Etcheverry,1
Carmen Gloria Aravena,Fernández,1
Carmen Gloria Aravena,Gabriel Boric,1
Carmen Gloria Aravena,Gustavo Benavente,1
Carmen Gloria Aravena,Isabel Allende,1
Carmen Gloria Aravena,Luis Cordero,1
Carmen Gloria Aravena,Mandatario,1
Carmen Gloria Aravena,Marcela Sandoval,1
Carmen Gloria Aravena,Maya Fernández,1
Carmen Gloria Aravena,"PS).""Durante",1
Carmen Gloria Aravena,Partido Republicano,1
Carmen Gloria Aravena,Patricio Aylwin,1
Carmen Gloria Aravena,Presidente,1
Carmen Gloria Aravena,Presidente Boric,1
Carmen Gloria Aravena,Presupuesto,1
Carmen Gloria Aravena,Radio Duna,1
Carmen Gloria Aravena,Salvador Allende,1
Carmen Gloria Aravena,Segegob,1
Carmen Gloria Aravena,Ximena Ossandón,1
Carmen Paz Allende Bussi,Congreso,1
