url,titulo,bajada,cuerpo,fecha_raw
http://www.emol.com/noticias/Nacional/2025/01/03/1153167/conductor-paseo-peatonal-iquique-danos.html,Video| Conductor ebrio pierde el control e ingresa a paseo peatonal en Iquique: Causó daños a locales comerciales,"El sujeto entró a alta velocidad a calle Baquedano, destruyendo las terrazas dispuestas frente a los restaurantes. Por ahora no se reportan personas lesionadas.","Un grave accidente se produjo este viernes en la ciudad de Iquique, Región de Tarapacá, luego de que un conductor en estado de ebriedad ingresara a alta velocidad con su vehículo al paseo peatonal Baquedano.Según información preliminar, el sujeto perdió el control de su automóvil y causó daños a los locales comerciales ubicados en el lugar, pero hasta ahora no se reportan personas lesionadas a causa del siniestro.Videos difundidos en redes sociales muestran el momento exacto del accidente, así como los minutos posteriores al hecho y la destrucción provocada por el vehículo.El teniente coronel de Carabineros, Rodrigo Hidalgo, dio detalles de la dinámica de los hechos: ""Aproximadamente a las 16 horas del día de hoy un conducto en estado de ebriedad ingresa a calle o al paseo peatonal Baquedano en la comuna de Iquique, resultando lesionado este conductor al colisionar con una banca que se encontraba desocupada. Afortunadamente, no ocasionó lesiones a terceras personas"".""El conductor fue trasladado hasta el servicio de urgencia del hospital regional para realizarle la alcoholemia de rigor y ser puesto a disposición del Ministerio Público por haber conducido en estado de ebriedad"", agregó.Revisa el momento del accidente:",
http://www.emol.com/noticias/Nacional/2025/01/03/1153171/compra-allende-articulos-constitucion-ilegal.html,Compra de casa de Allende: Los dos artículos de la Constitución que la transacción del Gobierno estaría infringiendo,La participación que tendrían la ministra Maya Fernández y la senadora Isabel Allende complicarían el proceso autorizado por el Ejecutivo.,"Una nueva controversia se desató este viernes en La Moneda luego de que se conociera que el Estado pretende comprar la casa de Salvador Allende ubicada en Providencia, con el propósito de convertirla en un museo.Por un lado, desde la oposición criticaron el alto valor que pretende desembolsar el Ejecutivo por su adquisición, que llegaría a las 24.291UF, es decir, $933 millones.Y por otro, se suma que la transacción podría infringir dos artículos de la Constitución, lo que complicaría el proceso autorizado por el Gobierno.Esto, ya que una de las actuales propietarias del inmueble es la ministra de Defensa, Maya Fernández, lo que implicaría un conflicto de interés directo.""Durante el ejercicio de su cargo, los ministros estarán sujetos a la prohibición de celebrar o caucionar contratos con el Estado, actuar como abogados o mandatarios en cualquier clase de juicio o como procurador o agente en gestiones particulares de carácter administrativo, ser director de bancos o de alguna sociedad anónima y ejercer cargos de similar importancia en estas actividades"", indica la Carta Magna.A esto se suma que, según consigna La Tercera, dentro del decreto de Bienes Nacionales tomado de razón por Contraloría, la propiedad también es compartida por Carmen Paz Allende Bussi, Alejandro Salvador Fernández Allende, y la senadora socialista María Isabel Allende Bussi.En ese caso, la Constitución también impediría la transacción: ""Cesará en el cargo el diputado o senador que durante su ejercicio celebrare o caucionare contratos con el Estado, o el que actuare como procurador o agente en gestiones particulares de carácter administrativo, en la provisión de empleos públicos, consejerías, funciones o comisiones de similar naturaleza (...)"", indica la Carta Fundamental.Producto de esta situación, desde el propio Ejecutivo habrían reconocido el error, por lo que se baraja la posibilidad de echar pie atrás en la compra, o bien, pausarla, de acuerdo al citado medio. Incluso, se está evaluando coordinar el regreso de la ministra Marcela Sandoval desde sus vacaciones para atender la crisis que involucra al ministerio de Bienes Nacionales.",
http://www.emol.com/noticias/Nacional/2025/01/03/1153173/gobierno-no-continua-compra-allende.html,Tras posible infracción a la Constitución: Gobierno decide no continuar con la adquisición de la casa de Allende,"El Ministerio de Bienes Nacionales indicó en un comunicado que, ""debido a la actual estructura de copropiedad"" de la vivienda, ""no es posible concretar la adquisición de la residencia"".","El Gobierno echó pie atrás a la adquisición de la propiedad del ex presidente Salvador Allende, ubicada en la comuna de Providencia, en medio de los posibles conflictos que aquella transacción tendría con la Constitución.La decisión fue anunciada a través de un comunicado por el Ministerio de Bienes Nacionales, donde detalla que la no compra de la vivienda responde a su estructura de copropiedad, que es compartida por Carmen Paz Allende Bussi, Alejandro Salvador Fernández Allende, además de la senadora socialista María Isabel Allende Bussi y la ministra de Defensa Maya Fernández, nieta del ex jefe de Estado.Justamente, la participación que tendrían la parlamentaria y la ministra impedirían la transacción, ya que infringen dos artículos de la Carta Magna.""Este proceso se ha impulsado como parte de la iniciativa de inversión patrimonial establecida en la Ley de Presupuestos 2024 y se ha desarrollado conforme a la legalidad vigente. El proceso contempla distintas etapas previas a la compraventa que incluyen, entre otras, la dictación de un decreto que autoriza la adquisición de los inmuebles, decreto que fue tomado de razón por la Contraloría General de la República el pasado 20 de diciembre"", comienza señalando el comunicado de Bienes Nacionales.Agrega que ""cada una de las etapas ha sido evaluada en su mérito. Como parte de este proceso, y debido a la actual estructura de copropiedad de la comunidad de herederos del expresidente Allende, se ha determinado que no es posible concretar la adquisición de la residencia del exmandatario"".Pese a esto, el ministerio indicó que ""la compra de la residencia del expresidente Aylwin se mantiene"", y que ""como Gobierno seguiremos promoviendo la preservación del patrimonio de nuestro país"". ""La vida y la obra de los presidentes democráticos son parte del patrimonio de Chile y es rol del Estado conservar y difundir su legado"", cierra el escrito.",
http://www.emol.com/noticias/Nacional/2025/01/04/1153180/embajada-eeuu-fecha-visa-pasaporte.html,"Visa Waiver: Embajada de EE.UU. dice que ""no podemos confirmar la fecha"" en que se solucione problema con pasaporte","Sede diplomática indica que ""tras haber recibido la notificación presentada por las autoridades chilenas sobre los nuevos pasaportes, las autoridades estadounidenses han estado trabajando diligentemente para que estos sean legibles"".","La Embajada de los Estados Unidos en Chile abordó la problemática que se ha generado para acceder a la Visa Waiver a aquellos viajeros que han adquirido el nuevo pasaporte, que comenzó a ser distribuido el pasado 16 de diciembre. ""No podemos confirmar la fecha en la que este proceso será completado, pero podemos asegurar que tras haber recibido la notificación presentada por las autoridades chilenas sobre los nuevos pasaportes, las autoridades estadounidenses han estado trabajando diligentemente para que estos sean legibles para el sistema ESTA"", es decir, del Sistema Electrónico para la Autorización de Viajes. La afirmación desde la Embajada contrasta, no obstante, con las palabras emitidas este viernes por el subsecretario del Interior, Luis Cordero, quien dio una fecha estimada para que los problemas estén solucionados.""Esto tiene que ver estrictamente con un tema de lectura tecnológica, sobre el cual ya se pronunció el Registro Civil y es un asunto que nosotros esperamos que en las próximas dos semanas esté resuelto"", aseveró.Lea la nota completa en la nueva edición de El Mercurio.",
http://www.emol.com/noticias/Nacional/2025/01/04/1153182/bienes-nacionales-casa-allende-responsabilidad.html,"Gobierno y fallida compra de casa de Allende: ""Frenar en esta etapa es actuar con responsabilidad, prudencia y seriedad""","La ministra de Bienes Nacionales, Marcela Sandoval, descartó la existencia de alguna ilegalidad en la adquisición de la propiedad.","La ministra de Bienes Nacionales, Marcela Sandoval, abordó la fallida compra de la propiedad del expresidente Salvador Allende ubicada en Providencia, proceso que formaba parte de una iniciativa que buscaba crear un museo en dicho inmueble.La adquisición, que contemplaba un gasto de $933 millones, fue descartada la noche de este viernes por parte del propio Ejecutivo luego de que se advirtiera que existían posibles infracciones a la Constitución en la compra, debido a la participación que tenían en la propiedad la ministra de Defensa, Maya Fernández, y la senadora del PS Isabel Allende.Al respecto, Sandoval descartó que exista algún tipo de ilegalidad en la compraventa. ""Hemos evaluado cada etapa de este proceso, hay que ser muy serios, prudentes y responsables en el tenor de esta conversación ciudadana, sobre todo cuando se trata de la memoria de expresidentes"", manifestó la secretaria de Estado en un punto de prensa.Puntualizó que ""lo que pretendíamos al adquirir esta residencia es resguardar su legado y poner a disposición de las futuras generaciones, por tanto, la responsabilidad, la prudencia y decisión de tomar en el momento que corresponda estas decisiones, tiene total sentido y hoy creemos que (había) que tomar esta decisión en este momento"".""Es la decisión de adquirir las residencias (...) luego, en esa comunicación se especifica que Contraloría toma razón de este decreto autorizatorio de la adquisición de los inmuebles, pero esto no quiere decir que la compra ha sido finiquitada, puesto que faltan distintas etapas"", enfatizó la secretaria de Estado.Y acotó: ""Frenar en esta etapa un proceso es justamente actuar con responsabilidad, prudencia y seriedad (...) corresponde que nos hagamos cargo de los problemas que la gente se pregunta. Queremos aclararle con total transparencia a la ciudadanía que aquí no ha habido una ilegalidad"".",
http://www.emol.com/noticias/Nacional/2025/01/04/1153184/carabineros-encuentra-auto-robado.html,Carabineros desbarata taller mecánico clandestino en El Bosque: Una de las víctimas siguió el vehículo por GPS,En el lugar se desarmaban vehículos para posteriormente vender las piezas adulteradas,"Cerca de la medianoche del viernes, Carabineros dio cuenta de la existencia de un taller clandestino en la comuna de El Bosque, región Metropolitana. El hallazgo se realizó mientras el personal policial verificaba el aviso de un denunciante respecto a la ubicación de su vehículo robado, el cual había detectado gracias a un seguimiento por GPS.El auto fue sustraído cerca de las 16 horas de ayer viernes en la vía pública en la comuna de La Granja, sin mediar intimidación. Tras percatarse, la víctima puso una denuncia y realizó un seguimiento a través de un dispositivo de geolocalización.En el lugar, los efectivos policiales comprobaron la existencia de un taller mecánico, donde se encontraba el vehículo Marca Sangyong, color blanco, que estaba siendo buscado, el cual mantenía adosadas patente que correspondían a otro vehículo. ""Al ingresar Carabineros al galpón, se constató que en el interior se mantenía el vehículo robado de la víctima, además de aproximadamente doce piezas diferentes de distintos vehículos que mantenían encargo por robo"", explicó el capitán Sebastián Veloso, de la Prefectura Sur.El resto de las piezas halladas corresponderían a partes de chasis, puertas y motores, las cuales están siendo periciadas para dar con el paradero de las demás víctimas.Asimismo, en el lugar se detuvo a un ciudadano chileno, de 20 años, sin antecedentes penales, quien se declaró como el encargado del local mecánico. El hombre fue trasladado a la 39a Comisaría de El Bosque por el delito de receptación ""La persona detenida es clave para la investigación, porque deberá proporcionar información sobre cómo estas piezas llegaron a este lugar y dónde está el resto de los vehículos que han sido hallados en este lugar"", señaló Veloso.",
http://www.emol.com/noticias/Nacional/2025/01/04/1153186/boric-casa-allende-nadie-enriquecerse.html,"Presidente Boric y detención de compra de casa de Allende: ""Nadie busca enriquecerse a costa del Estado""","El Mandatario también respaldó a la familia del exjefe de Estado asegurando que no tiene duda de su ""integridad"". Por otro lado, destacó que las instituciones están funcionando.","En medio de su expedición hacia el Polo Sur en el contexto de la Operación Estrella Polar III, el presidente Gabriel Boric abordó la detención de la compra de la casa del expresidente Salvador Allende -ubicada en Providencia-, hecho que fue informado la jornada de este viernes. Por ""darse, justamente, una incompatibilidad respecto de la estructura de propiedad de esa vivienda en particular, se decidió detener la compra, hasta que ese problema sea eventualmente solucionado"", dijo en primer lugar. Luego, remarcó que ""si eso no está solucionado, no se puede hacer la compra, porque en en Chile las instituciones funcionan. Acá, que no les quepa duda, y esto quiero decirlo de manera muy clara, nadie está buscando hacer ningún tipo de negocio, ni enriquecerse a costa del Estado. Eso jamás lo permitiría, jamás lo permitiría"".El jefe de Estado también respaldó a la familia Allende y destacó que las instituciones están funcionando. ""No tengo ninguna duda de la integridad absoluta de la familia Allende. Por lo tanto, cuestionamientos de ese tipo me parece que escapan totalmente a la voluntad de resguardar el patrimonio. Y acá, como hemos dicho, las instituciones están funcionando, porque producto de lo verificado en el proceso, se ha decidido detenerlo hasta que esto sea solucionado"", puntualizó.Casas de carácter patrimonialEl Mandatario explicó previamente, que ""se inició el proceso de compra de dos casas que son de carácter patrimonial, la del expresidente Aylwin y la del expresidente Allende"".Ahora bien, dijo que ""en el proceso de la compra, que aún no se ha concluido, se llegó a la conclusión de que habían ciertos impedimentos respecto de la estructura de propiedad de la misma, que impedían que el Estado, en este momento, la comprara"".""Yo, por lo menos, estoy convencido que el Estado tiene que resguardar su patrimonio y, sin lugar a dudas, las presidencias, tanto del presidente Aylwin como del presidente Allende, fueron tremendamente significativas e importantes para el país, y es importante que esa memoria se resguarde, se enseñe de aquí en adelante"", añadió.Cabe mencionar que la adquisición del inmueble, que contemplaba un gasto de $933 millones, fue descartada la noche de este viernes por parte del propio Ejecutivo luego de que se advirtiera que existían posibles infracciones a la Constitución en la compra, por la participación que tenían en la propiedad la ministra Fernández, y la senadora del PS, Isabel Allende.La ministra de Bienes Nacionales, Marcela Sandoval, aseveró en un punto de prensa que ""hemos evaluado cada etapa de este proceso"" y ""hay que ser muy serios, prudentes y responsables en el tenor de esta conversación ciudadana, sobre todo, cuando se trata de la memoria de expresidentes"".""Lo que pretendíamos al adquirir esta residencia es resguardar su legado y poner a disposición de las futuras generaciones, por tanto, la responsabilidad, la prudencia y decisión de tomar en el momento que corresponda estas decisiones, tiene total sentido y hoy creemos que (había) que tomar esta decisión en este momento"", agregó.En la misma línea, expresó que lo anterior ""no quiere decir que la compra ha sido finiquitada, puesto que faltan distintas etapas"", pero que ""frenar en esta etapa un proceso es justamente actuar con responsabilidad, prudencia y seriedad (...) corresponde que nos hagamos cargo de los problemas que la gente se pregunta. Queremos aclararle con total transparencia a la ciudadanía que aquí no ha habido una ilegalidad"".",
http://www.emol.com/noticias/Nacional/2025/01/04/1153188/presidente-destaca-soberania-polo-sur.html,"Presidente destaca ""pretensión de soberanía"" de Chile tras alcanzar el Polo Sur y avanzar en base defintiva",La misión implicó que por primera vez que un jefe de Estado de latinoamericano en ejercicio llegue hasta ese punto del continente en una visita oficial.,"Luego de que este viernes el Presidente Gabriel Boric arribara a la base Amundsen-Scott, ubicada en el Polo Sur, el Mandatario destacó la  ""vocación antártica"" y ""pretensión de soberanía"" de Chile en la zona, valorando la operación, la que permitió que por primera vez que un jefe de Estado de latinoamericano en ejercicio llegue hasta ese punto del continente en una visita oficial. Boric realizó en la Base Aérea Chabunco de Punta Arenas un punto de prensa tras la finalización de la operación, señalando que ""esto es muy relevante para Chile en el sentido del ejercicio de la soberanía en la Antártica"", ya que nuestra nación ""es uno de los siete países que reclama soberanía"" en el territorio, además de ser ""uno de los doce firmantes originales del Tratado de Antártica"" y  ""la principal puerta de entrada al mundo a la Antártica"". En ese sentido, el jefe de Estado calificó la operación como ""un hito en la historia"" en torno a la ""la vocación antártica de nuestro país"". ""La política antártica de Chile es una política de Estado, de largo plazo, y en tiempos turbulentos de la geopolítica internacional, en donde en no tanto tiempo más se va a rediscutir el Estatuto de la Antártica, estos hitos y la presencia permanente del Estado de Chile en la Antártica, en las condiciones más extremas, es sin lugar a dudas un antecedente esencial y relevante a la hora de discutir el futuro del continente blanco"", planteó. Por lo mismo, prosiguió señalando que ""hay quienes insinúan que en la Antártica podrían explotar recursos minerales, por ejemplo, o desregular otro tipo de industrias. Nosotros desde Chile, país antártico por vocación y excelencia, les decimos que no. La Antártica es y seguirá siendo un continente de ciencia y de paz, y Chile ratifica la pretensión soberana que tiene respecto al territorio antártico"". Consultado sobre el balance de la operación, Boric dijo que la misión ""va a marcar un hito en la historia antártica, no solo de Chile, sino que del mundo. Y a la hora de discutir las pretensiones soberanas de los diferentes países, el ejercicio permanente de soberanía del Estado de Chile en la Antártica, como continente de ciencia y de paz, hoy día queda ratificado y Chile va a hacer valer justamente aquello"". Además, señaló que no ve ""por qué no en el mediano plazo llegar al Polo Sur"" con una base definitiva, aunque señaló que eso requiere una política de Estado e ""inversiones de largo aliento"".""Son políticas de Estado, pero yo veo con toda factibilidad que esto se puede avanzar en esa dirección"", aseveró, añadiendo que ""las condiciones, evidentemente, son tremendamente difíciles. Sólo hay un país que tiene una base ahí, pero yo lo que vi hoy día de nuestras instituciones, es que es algo posible. Acá sería irresponsable hacer un anuncio definitivo, pero yo creo que es algo que vale la pena estudiar"". Fotos de la operación",
http://www.emol.com/noticias/Nacional/2025/01/04/1153189/daniel-jadue-cierre-investigacion.html,Pérdida de escuchas de Jadue en caso Led profundizaría crisis de confianza en las instituciones de justicia,"Expertos analizan decisión de la fiscalía de cerrar la investigación por el extravío de audios. Dada la gravedad de lo ocurrido, dicen, se debe aclarar cómo pudo desaparecer evidencia clave y revisar los mecanismos de custodia de la PDI.","""De conformidad al artículo 248 letra c del Código Procesal Penal, comunico a usted que esta fiscalía (...) ha decidido cerrar la presente investigación y no perseverar en este procedimiento"", dice la solicitud del Ministerio Público para pedir el cierre de la indagatoria —sin imputados y que nunca fue formalizada— relativa al extravío de una treintena de escuchas telefónicas al exalcalde de Recoleta Daniel Jadue (PC) en el marco de pesquisas por eventuales delitos de corrupción en el caso Led, el cual, no obstante, sigue su curso. ¿Qué implicancias tiene para el sistema de persecución penal esta decisión? ¿Cómo impacta a la ya lesionada confianza pública en las instituciones? Expertos abordan el escenario, en un contexto donde la justicia ha estado bajo la lupa por numerosas situaciones.Lea la nota completa en la nueva edición de El Mercurio.",
http://www.emol.com/noticias/Nacional/2025/01/04/1153190/ministra-fernandez-casa-allende.html,"Fernández detalla propiedad de casa de Allende y aborda detención de compra: ""No queremos nada contra la ley""","La también nieta del exmandatario, aclaró que el inmueble es parte de una ""asociación"" y no solo de ella.","La ministra de Defensa, Maya Fernández, quien se encuentra en el Polo Sur en el marco de la Operación Estrella Polar III junto al presidente Gabriel Boric, se refirió a la detención de la compra de la casa del exmandatario Salvador Allende -y también su abuelo-, asegurando que no quieren nada que vaya contra la ley. En primer lugar, y tras ser consultada al respecto, la secretaria de Estado dijo a 24 Horas que ""esto es un proceso que revisa el Ministerio de Bienes Nacionales (...) y como es un paso que tiene legalidad, pasos legales, ahí se está viendo cuáles son aquellas cosas que se tienen que cumplir"".De todas maneras, aclaró que la casa es parte de una ""asociación"" y no solo de ella. ""Esto es una asociación. Desgraciadamente mi madre murió, me hubiera gustado que estuviera viva, por tanto, en ese sentido, ese sexto era de mi madre"", relató.Dicho eso, agregó que ""esto nunca ha sido oculto, siempre ha estado, además, en mi declaración de patrimonio, que todos pueden ver, y por tanto, es parte de lo que legalmente se está estudiando (...) El Presidente ha sido muy claro, nosotros no queremos nada que vaya contra la ley"".Cabe mencionar que la adquisición del inmueble, que contemplaba un gasto de $933 millones, fue descartada la noche de este viernes por parte del propio Ejecutivo luego de que se advirtiera que existían posibles infracciones a la Constitución en la compra, por la participación que tenían en la propiedad la ministra Fernández, y la senadora del PS, Isabel Allende.La titular de Bienes Nacionales, Marcela Sandoval, precisó en un punto de prensa que ""lo que pretendíamos al adquirir esta residencia es resguardar su legado y poner a disposición de las futuras generaciones, por tanto, la responsabilidad, la prudencia y decisión de tomar en el momento que corresponda estas decisiones, tiene total sentido y hoy creemos que (había) que tomar esta decisión en este momento"".",
